reference	predicted
أَرغَبُ فِي مَعرِفَةِ مَوَاعِيدِ رَحَلاتِ المُغَادَرَة	اَرْغَبْ فِي مَعْرَفَة مَوَاعِيْدْ رَحَلَاتْ الْمَغَادِرَة
أَرغَبُ فِي السَّفَرِ مِن الرِّيَاضِ إِلى	اَرْغَبْ فِي السَفْرْ مِنْ الرِيَاضْ اِلَى
أَرغَبُ فِي السَّفَرِ مِن	اَرْغَبْ فِي السَّفْرْ مِنْ
أَرغَبُ فِي السَّفَرِ إلى	اَرْغَبْ فِي السَّفْر اَلَى
مَتَى تَصِلُ الرِّحلَة	مَتَى تَصْلْ الرِّحْلَة
كَم عَدَدُ الرَّحَلاتِ القَادِمَةِ مِن	كُمْ عَدَدْ الرَحْلَاتْ الْقَادِمَة مِنْ
كَم عَدَدُ الرَّحَلاتِ المُغَادِرَةِ مِن	كَمْ عَدَدْ الرَحْلَاتْ الْمُغَادِرَة مِنْ
أَرغَبُ فِي مَعرِفَةِ مَوَاعِيدِ رَحَلَاتِ المُغَادَرَة	اَرْغَبْ فِي مَعْرَفَة مَوَاعِيدْ رَحَلَاتْ المَغَادِرَة
أَرغَبُ فِي مَعرِفَةِ مَوعِدِ رِحلَةِ جُدَّة	اَرْغَبْ فِي مَعْرِفَة مَوَعْدْ رَحْلَة جِدَة
مَتَى تَصِلُ الرِّحلَةُ رَقمُ وَاحِد اِثنَين ثَلاثَة	مَتّى تَصْل الْرِّحْلَة رَقَمْ وَاحِد اِثْنِينْ ثْلَاثَة
مَوعِدُ وُصُولِ الرِّحلَةِ رَقم	مَوَعْدْ وَصولْ الرِّحْلَة رَقَمْ
مَوعِدُ وُصُولِ الرِّحلَةِ رَقم ثَلاثَة اِثنَين وَاحِد	مَوَعْدْ وَصولْ الْرِّحْلَة رَقَمْ ثْلَاثَة اِثْنِينْ وَاحِد
أَرجُو التَّعدِيل	اَرْجُو الْتَعْدِيل
عَدِّلِ الحَجزَ مِن فَضلِك	عَدْلْ الْحَجْزْ مِنْ فَضْلَكْ
غَيِّر مَوعِدَ الحَجزِ إلى	غَيْرْ مَوَعْدْ الْحَجْزْ الْى
رَقمُ الحَجزِ هو	رَقَّمْ الْحَجْزْ هُو
أَرجُو أَن تُعِيدَ عَلَيَّ المَعلُومَاتِ الّتِي ذَكَرتَها	اِرْجُو اَنْ تَعِيدْ عَلِيْ الْمَعْلُومَاتْ التِي ذَكْرْتَهَا
أُرِيدُ التَّحَدُّثَ مَعَ المَسئُول	اَرِيدْ الْتَّحْدِثْ مَعْ الْمَسْيول
أُرِيدُ التَّحَدُّثَ مَعَ شَخصٍ آخَر	اَرِيدْ الْتَحْدِثْ مَعْ شَخْصْ اَخْر
أُرِيدُ السَّفَرَ إِلَى	اَرِيدْ السَّفْرْ اِلَى
أُرِيدُ إِلغَاءَ الحَجز	اَرِيدْ الغَاءْ الْحَجْزْ
الحَجزُ غَيرُ مُنَاسِب	الْحَجْزْ غِيْرْ مَنَاسِبْ
أُرِيدُ دَفعُ ثمَنَ التَّذكِرَة	اَرِيدْ دَفْعْ ثَمْنْ التَّذْكْرَة
كَم مَجمُوُع ثَمَنِ التَّذَاكِر	كُمْ مَجْمُوعْ ثَمَنْ التَّذَاكُرْ
مَجمُوعُ الثَّمَن	مَجْمُوعْ الْثَمْنْ
كَمِ السِّعرَ الإجمَالي	كُمْ السَعْرْ الْاَجْمَالِي
أُرِيدُ دَفعَ قِيمَةَ التَّذكِرَةِ الآن	اَرِيدْ دَفْعْ قِيْمَة الْتَّذْكْرَة الْاَنْ
سَأَدفَعُ بِالبِطَاقَةِ الائتِمَانِيَّة	سَادْفَعْ بِالْبْطَاقَة الْاَيْتِمَانِيَة
رَقمُ التَّذكِرَةِ الإلِكتُرونِيَّةِ هُو	رَقَمْ التَّذْكْرَة الْاِلْكَتْرُونِيَة هُو
مَاهُوَ رَقمُ التَّذكِرَةِ الإلِكتُرونِيَّة	مَاهُو رَقَمْ الْتَّذْكْرَة الْاِلْكَتْرُونِيَة
اِطبَع كَرتَ الصُّعُودِ لِلطَّائِرَة	اَطْبَعْ كُرْتْ الصُعودْ لِلْطَايِرَة
أُرِيدُ أَن تُصدِرَ كَرتَ الصُّعُود	اَرِيدْ اَنْ تَصْدِرْ كُرْتْ الصعودْ
غَيِّرِ المَقَاعِدَ مِن فَضلِك	غَيْرْ الْمَقَاعِدْ مِنْ فَضْلَكْ
أُرِيدُ تَغيِيرَ المَقَاعِد	اَرِيدْ تَغْيِير الْمَقَاعِد
هَل تَستَطِيعُ تَأكِيدَ هَذَا الحَجز	هَلْ تَسْتَطِيع تَاكِيدْ هَذَا الْحَجْزْ
بِجَانِبِ النَّافِذَة	بِجَانِبْ الْنَّافِذَة
عَلَى المَمَر	عَلَى الْمَمْرْ
بِقُربِ مَخرَجِ الطَّوَارِئ	بِقُرْبْ مَخْرَجْ الطَّوَارِي
حَجز	حَجَزْ
تَذكِرَة	تَذْكَرَة
كَرتُ صُعُود	كرت صَعُودْ
رَقم	رَقْمْ
نَافِذَة	نَافْذَة
الرِّحلَة	الرحْلَة
كَم رَقمُ بَوَّابَةِ الدُّخُول	كُمْ رَقَّمْ بِوَابَة الدُّخُول
أُرِيدُ مَعرِفَةَ رَقمِ البَوَّابَة	اَرِيدْ مَعْرِفَة رَقَمْ الْبُوَابَة
رَقمُ الحَجزِ مِن فَضلِك	رَقَمْ الْحَجْزْ مِنْ فَضْلَكْ
أُرِيدُ رَقمَ الحَجز	اَرِيدْ رَقَمْ الْحَجْزْ
أُرِيدُ مَعرِفَةَ رَقمَ الحَجز	اَرِيدْ مَعْرِفَة رَقَمْ الْحَجْزْ
أُرِيدُ مَعرِفَةَ رَقمَ الرِّحلَة	اَرِيدْ مَعْرَفَة رَقْمْ الرِّحْلَة
أُرِيدُ مَعرِفَةَ رَقمَ الصَّالَة	اَرِيدْ مَعْرِفَة رَقَمْ الْصَالَة
أُرِيدُ تَأكِيدَ الحَجز	اَرِيدْ تَاكِيدْ الْحَجْزْ
أُرِيدُ مَعرِفَةَ وَقتَ الرِّحلَة	اَرِيدْ مَعْرِفَة وَقْتْ الرِّحْلَة
أُرِيدُ مَعرِفَةَ وَقتَ وُصُولِ الرِّحلَة	اَرِيدْ مَعْرَفَة وَقْتْ وَصولْ الرِّحْلَة
الصَّوتُ غَيرُ وَاضِح	الصوْتْ غَيْرْ وَاضِح
لا أَسمَعُك	لَا اِسْمَعَكْ
لا أَستَطِيعُ سَمَاعَ صَوتِك	لَا اِسْتَطِيع سْمَاعْ صُوتَكْ
صَوتُكَ مُنخَفِض	صوْتِكْ مَنْخَفِضْ
حَجزٌ جَدِيدٌ مِن فَضلِك	حَجْزْ جَدِيدْ مِنْ فَضْلَكْ
أُرِيدُ مَعرِفَةَ وَقتَ مُغَادَرَةِ الرِّحلَة	اَرِيدْ مَعْرَفَة وَقْتْ مَغَادِرَة الرَحْلَة
هَل تَأَخَّرَتِ الرِّحلَة	هَلْ تَاخَرْتْ الرَّحْلَة
هَل سَتُقلِعُ الطًّائِرَةَ فِي مَوعِدِها	هَلْ سَتْقَلَع الْطَايِرَة فِي مَوْعْدَهَا
الرِّحلَةُ فِي مَوعِدِها	الرحْلَة فِي مَوْعْدَهَا
تَأَخَّرَتِ الرِّحلَةُ سَاعَتَين	تَاخَرْتْ الرَّحْلَة سَاعَتِينْ
الصَّالَةُ المَحَلِيَّة	الصَالَة الْمَحَلِيَّة
الصَّالَةُ الدَّاخِلِيَّة	الصَالَة الْدَاخْلِيَة
الصَّالَةُ الدَّولِيَّة	الصَالَة الدُولِيَة
الصَّالاتُ الدَّولِيَّة	الصَالَات الدُّولِيَة
صَالَةُ المُغَادَرَة	صَالَة الْمَغَادِرَة
صَالَةُ القُدُوم	صَالَة الْقُدُوم
صَالاتُ الخُطُوطِ الأَجنَبِيَّة	صَالَاتْ الخَطُوط الْاَجْنِبِيَة
الخُطُوطُ الأَجنَبِيَّة	الْخَطوطْ الْاَجْنَبِية
هَذِهِ الأَمتِعَةُ الخَاصَّةُ بِي	هَذِهْ الْاِمْتَعَة الْخَاصَة بِي
هَذِهِ أَمتِعَتِي	هَذِهْ اِمْتَعْتِي
سَبعَةُ قِطَع	سَبْعَة قَطَّعْ
خَمسَةُ قِطَع	خَمْسَة قَطَّعْ
عَرَبَةُ أَطفَال	عَرَبَة اَطْفَالْ
نَعَم هَذِهِ القِطعَةُ لي	نَعَمْ هَذِهْ الْقَطْعَة لِي
نَعَم أَنَا أَبحَثُ عَن هَذِهِ القِطعَة	نَعَمْ اَنَا اَبْحَثْ عِنْ هَذِه الْقَطَعَة
مَكَانُ سَيَّارَاتِ الأُجرَةِ مِن فَضلِك	مَكَان سَيَّارَات الْاَجْرَة مِنْ فَضْلَكْ
سّيَّارَاتُ الأُجرَة	سَيَارَات الْاَجْرَة
سّيَّارَةُ الأُجرَة	سَيَارَة الْاَجْرَة
أَينَ الطَّرِيقُ إِلَى فُندُقِ المَطَار	اَيْنْ الطَرِيقْ اِلَى فِنْدَقْ المَطَارْ
أَقرَبُ فُندُق	اَقْرَبْ فِنْدَقْ
صَالَة	صَالَة
صَالَات	صَالَاتْ
رِحلَة	رَحَلَة
أَمتِعَة	اِمْتَعَة
كَرتَ الصُّعُود	كَرْت الصَّعودْ
أَبحَثُ عَن مُجَمَّعِ أَسوَاق	اَبْحَثْ عِنْ مَجْمَعْ اَسْوَاقْ
أَنَا أَبحَثُ عَن	اَنَا اَبْحَثْ عِنْ
أَحتَاجُ إِلَى مُسَاعَدَة	اَحْتَاجْ اِلَى مَسَاعَدَة
أَنَا مُحتَاجٌ إِلَى مُسَاعَدَتِك	اَنَا مَحْتَاجْ اِلَى مَسَاعَدَتَكْ
أَحتَاجُ لِتَاكسِي	اَحْتَاجْ لِتَاكْسِي
هَل تَستَطِيعُ إِسعَافِي	هَلْ تَسْتَطِيع اِسْعَافِي
أَحتَاجُ لِسَيَّارَةِ أُجرَة	اَحْتَاجْ لِسَيَّارَة اَجْرَة
أُرِيدُ مَوقِعَ سَيَّارَاتِ الأُجرَة	اَرِيدْ مَوْقَعْ سَيَارَات الْاَجْرَة
مَاهُوَ أَقرَبُ مُستَشفَى	مَاهُو اَقْرَبْ مَسْتَشَفَى
أَنَا أَبحَثُ عَن شَارِع	اَنَا اَبْحَثْ عَنْ شَارَعْ
أَبحَثُ عَن أَقرَبِ مَركَزٍ صِحِّي	اَبْحَثْ عِنْ اَقْرَبْ مَرْكِزْ صَحِي
أَحتَاجُ لِعِلَاج	اَحْتَاجْ لَعْلَاجْ
أَحتَاجُ للشُّرطَة	اَحْتَاجْ لِلْشُرْطَة
أَنَا مُحتَاجٌ لِلشُّرطَة	اَنَا مَحْتَاج لِلْشرْطَة
أَحتَاجُ لِلِيمُوزِين	اَحْتَاجْ لِلِيمُوزِين
أَحتَاجُ لِمُسَاَعَدة	اَحْتَاج لِمْسَاعَدَة
أَحتَاجُ تَاكسِي	اَحْتَاجْ تَاكْسِي
كَم المَسَافَةُ مِن الرِّيَاضِ إلَى مَكَّة	كُمْ الْمَسَافَة مِنْ الرِيَاضْ اِلَى مَكَّة
تَاكسِي كَبِير مِن فَضلِك	تَاكْسِي كْبِيرْ مِنْ فَضْلِكْ
أَحتَاجُ لِوَسِيلَةِ نَقل	اَحْتَاجْ لُوسِيلَة نَقُلْ
أُرِيدُ مَعرِفَةَ حَرَكَةَ السَّير	اَرِيدْ مَعْرَفَة حَرَكَة الْسِيْر
هَل يُوجَدُ ازدِحَامٌ مُرُورِي	هَلْ يوجَدْ اِزْدِحَامْ مُرورِي
كَمِ السَّاعَةُ الآن	كُمْ الْسَاعَة الَاَنْ
كَم سِعرَ صَرف	كمْ سَعْرْ صَرْفْ
مَا هُوَ العُنوَان	مَا هُو الْعُنوَان
مَا هُوَ عُنوَان	مَا هُو عَنْوَان
هَل مُمكِن أَن تُعطِيَنِي العُنوَان	هَلْ مُمْكِنْ اَنْ تَعْطِينِي الْعُنوَانْ
مَا هُوَ أَقرَبُ طَرِيقٍ إِلَى	مَا هُو اَقْرَبْ طَرِيقْ اِلْى
هَل أَستَطِيعُ الاتِّصَالَ ب	هَلْ اَسْتَطِيعْ الْاَتْصَال بِ
كَيفَ أَستَطِيعُ الاتِّصَال	كِيفْ اِسْتَطِيعْ الْاَتْصَال
مَا هُوَ مِفتَاحُ الَّدولَة	مَا هُو مِفْتَاحْ الْدَّوْلة
مَا هُوَ مِفتَاحُ المَدِينَة	مَا هُو مِفْتَاحْ الْمَدِينَة
مَا هِيَ حَالَةُ الطَّقسِ فِي مَكَّة	مَا هِي حَالَة الطَّقْسْ فِي مَكَّة
مَا هِيَ حَالَةُ الطَّقسِ فِي الرِّيَاض	مَا هِي حَالَة الطَّقْسْ فِي الرِيَاضْ
مَا هِيَ حَالَةُ الطَّقسِ فِي	مَا هِي حَالَة الْطَّقْسْ فِي
كَم مَسَافَةُ السَّيرِ إِلَى	كُمْ مَسَافَة الْسِيْر اَلَى
كَم دَرَجَةُ الحَرَارَةِ الآن	كُمْ دَرَجَة الْحَرارَة الْاِنْ
أَقرَبُ صَيدَلِيَّةٍ لَو سَمَحت	اَقْرَبْ صَيْدَلِيَة لو سَمْحَتْ
مَتَى تُشرِقُ الشَّمس	مَتَى تَشْرَقْ الْشَّمْس
مَتَى تَغرُبُ الشَّمس	مَتَى تَغْرَبْ الشَّمْسْ
الرِّيَال	الرِيَالْ
الدُّولَار	الدُّولَارْ
الجُنِيه	الْجَنِيهْ
اللَّيرَة	الْلِيرَة
الدِّرهَم	الدرْهُمْ
رِيَال	رِيَال
دُولَار	دولَارْ
جُنَيه	جَنِيهْ
لِيرَه	لِيْرَهْ
دِرهَم	دَرْهَمْ
تَاكسِي	تَاكْسِي
شَارِع	شَارِعْ
طَرِيق	طَرِيقْ
مَسَافَة	مَسَافَة
أُرِيدُ مَطعَم	اَرِيدْ مَطْعَمْ
أَينَ مُجَمَّعُ المَطَاعِم	اَيْن مَجْمَعْ الْمَطَاعُمْ
مَا هُوَ أَقرَبُ المَطَاعِم	مَا هُو اِقْرَبْ الْمَطَاعِمْ
أُرِيدُ الاستِعلامَ عَن بِضَاعَة	اَرِيدْ الْاِسْتَعْلَام عَنْ بِضَاعَة
بِكَم هَذِهِ القِطعَة	بِكُمْ هَذْهْ الْقَطْعَة
بِكَم هَذِه	بِكُمْ هَذَهْ
كَم ثمَنُ هَذِه	كمْ ثَمَنْ هَذِه
كَم سِعرُ هَذَا	كُمْ سَعْرْ هَذَا
كَم ثَمَنُ هَذَا	كَمْ ثَمْنْ هَذَّا
كَم سِعرُ هَذِهِ القِطعَة	كمْ سَعْرْ هَذِهْ الْقَطْعَة
أُرِيدُ الاستِعلامُ عَن تَكَالِيف	اَرِيدْ الْاِسْتَعْلَام عَنْ تَكَالِيفْ
أُرِيدُ الاستِعلامُ عَن فَاتُورِة	اَرِيدْ الْاسْتَعْلَام عَنْ فَاتورَة
أُرِيدُ التَّأَكُّدَ مِن صِحَّةِ البَيَانَات	اَرِيدْ التَاكِدْ مِنْ صَحَة الْبِيَانَات
أُرِيدُ شِرَاءَ سِلعَة	اَرِيدْ شْرَاء سِلْعَة
أُرِيدُ مَعرِفَةَ اِنتِهَاءِ صَلاحِيَّةِ السِّلعَة	اَرِيدْ مَعْرَفَة اِنْتِهَاءْ صَلَاحِيَة السُّلْعَة
أُرِيدُ مَعرِفَةَ ثَمَنَ هَذِهِ السِّلعًة	اَرِيدْ مَعْرَفَة ثَمَنْ هَذِه السُّلَعَة
أُرِيدُ مَعرِفَةَ مُواصَفَاتِ هَذِهِ السِّلعَة	اَرِيدْ مَعْرَفَة مُوَاصِفَاتْ هَذِه السُّلْعَة
الصَّوتُ غَيرُ وَاضِح	الصوْتْ غَيْرْ وَاضِحْ
لا أَسمَعُك	لَا اِسْمَعَكْ
لا أَستَطِيعُ سَمَاعَ صَوتِك	لَا اِسْتَطِيعْ سْمَاعْ صُوتَكْ
صَوتُك مُنخَفِض	صوتِكْ مِنْخَفِضْ
مَا هِيَ ساعَاتُ العَمَل	مَا هِي سَاعَاتْ الْعَمَلْ
مَتَى يَبدَأُ الدَّوَام	مَتى يِبْدَا الدّوَام
مَتَى يَنتَهِي الدَّوَام	مَتَى يِنْتَهِي الدَّوَامْ
مَتَى يُفتَحُ المَحَل	مَتَى يَفْتَحْ الْمَحَل
مَتَى يُغلَقُ المَحَل	مَتَى يَغْلَقْ الْمَحَل
هَذَا غَيرُ صَحِيح	هَذا غَيْرْ صَحِيحْ
أُرِيدُ سَيَّارَاتِ الأُجرَة	اَرِيدْ سَيَارَات الْاَجْرَة
أَينَ المَحَلُّ الّذِي يَبِيعُ الأَقمِشَة	اَيْنْ الْمَحَل الذِي يِبِيعْ الْاَقْمَشَة
أَينَ مَحَلاتُ بَيعِ الجُملَة	اَيْن مَحَلَاتْ بِيَعْ الجُمْلَة
أُرِيدُ مَعرِفَةَ العُنوَان	اَرِيدْ مَعْرَفَة الْعُنوَان
أَينَ مَوقِعُ الشَّرِكَةِ الرَّئِيسِي	اَيْن مَوقَعْ الْشَّرْكَة الْرِييسِي
هَل تُوَجُد مَرَاكِزَ خَدَمَاتٍ بِدَاخِلِ السُّوق	هَلْ تُوجِدْ مَرَاكِزْ خَدْمَاتْ بِدَاخِلْ السُّوق
أَينَ يَقَعُ أَقرَبُ مَصرِف	اَيْن يَقع اَقْرَبْ مَصْرَفْ
مَحَلَّاتُ الأَطفَال	مَحَلَاتْ الْاَطْفَال
كَيفَ يُمكِنُكُم مُسَاعَدَتِي	كِيفْ يِمْكِنْكُمْ مَسَاعَدَتِي
لَدَيَّ حَالَةُ طَوَارِئ	لِدِي حَالَة طَوَارِي
مَا هِيَ أَوقَاتُ العَمَل	مَا هِي اُوقَاتْ الْعَمَل
هَل تَعمَلُونَ يَومَ الخَمِيس	هَلْ تَعْمِلُونْ يومْ الْخَمِيسْ
أَينَ دَورَاتُ المِيَاه	اَيْنْ دَوْرَاتْ الْمِيَاه
أَينَ دَورَةُ المِيَاه	اَيْن دُورَة الْمِيَاه
هَل تَدُلُّنِي عَلَى مَكَانِ دَورَةِ المِيَاه	هَلْ تَدْلْنِي عَلَى مَكَان دُوْرَة الْمِيَاهْ
هَل تُوجَدُ دَورَاتُ مِيَاهٍ قَرِيبَة	هَلْ تُوجِدْ دَوْرَاتْ مِيَاهْ قَرِيبَة
مَاهِيَ أَقرَبُ دَورَاتُ مِيَاه	مَاهِي اقْرَب دُوْرَات مِيَاهْ
غَالِي	غَالِي
غَالِيَة	غَالِيَة
رَخِيص	رَخِيصْ
رَخِيصَة	رَخِيصَة
غَالِيَةٌ جِدًا	غَالِيَة جِدَا
المَلابِس	الْمَلَابِسْ
الحِلاقَة	الْحَلَاقَة
المَلابِسُ النِّسَائِيَّة	الْمَلَابِسْ الْنِّسَايِيَّة
المَلابِسُ الرِّجَالِيَّة	الْمَلَابِسْ الرِجَالِيَة
مَحَل	مَحَلْ
مَركَز	مَرْكَز
خَدَمَات	خَدَمَاتْ
سِعر	سعرْ
السَّبت	السَبْتْ
الأَحَد	الاَحِدْ
الاثنَين	الْاِثْنِين
الثُّلَاثَاء	الثلَاثَاءْ
الأَربِعَاء	الْاَرْبْعَاءْ
الخَمِيس	الْخَمِيسْ
الجُمُعَة	الْجُمْعَة
أَيَّامُ الأُسبُوع	اَيَامْ الْاَسْبُوعْ
نِهَايَةُ الأُسبُوع	نِهَايَة الْاَسْبُوعْ
إِجَازَةُ الأُسبُوع	اَجَازَة الْاَسْبُوعْ
الخَمِيس وَالجُمُعَة	الْخَمِيسْ وَالْجُمْعَة
اليَوم	الْيوم
أَمس	اَمْس
بَعدَ إِبرِيل	بَعَدْ اَبْريلْ
بَعدَ أَغُسطُس	بَعَدْ اَغْسَطَسْ
بَعدَ أُكتُوبَر	بَعَدْ اِكْتُوبِرْ
بَعدَ أُسبُوع	بَعَدْ اَسْبُوعْ
بَعدَ الإِجَازَة	بَعَدْ الْاَجَازَة
بَعدَ الثُّلاثَاء	بَعَدْ الثَلَاثَاءْ
بَعدَ الخَرِيف	بَعَدْ الخَرِيف
بَعدَ الدِّرَاسَة	بَعَدْ الْدِّرَاسَة
بَعدَ الرَّبِيع	بَعَدْ الرَبِيعْ
بَعدَ السَّبت	بَعَدْ السَّبْتْ
بَعدَ الشِّبط	بَعَدْ الشَّبْطْ
بَعدَ الشِّتَاء	بَعَدْ الشَّتَاءْ
بَعدَ العَصر	بَعَدْ الْعَصْرْ
بَعدَ العَقَارِب	بَعَدْ الْعَقَارِب
بَعدَ العِيد	بَعَدْ الْعِيْدْ
بَعدَ المِربِعَانِيَّة	بَعَدْ الْمَرْبِعَانِيَّة
بَعدَ المَغرِب	بَعَدْ الْمَغْرِبْ
بَعدَ أُسبُوع	بَعَدْ اَسْبُوعْ
بَعدَ أَغُسطُس	بَعَدْ اَغْسَطَسْ
بَعدَ أُكتُوبَر	بَعَدْ اَكْتُوبَرْ
بَعدَ أَيلُول	بَعَدْ اَيْلُول
بَعدَ إِبرِيل	بَعَدْ اَبْريل
بَعدَ إِجَازَةِ نِهَايَةِ الأُسبُوع	بَعَدْ اَجَازَة نِهَايَةْ الاَسْبُوعْ
بَعدَ جُمَادَى الأُولى	بَعَدْ جْمَادَى الْاُولَى
بَعدَ جُمَادَى الآخِرَة	بَعَدْ جَمَادَى الْاَخْرَة
بَعدَ جُمَادَى الثَّانِيَة	بَعَدْ جْمَادَى الثَانِيَة
بَعدَ دَقِيقَة	بَعَدْ دَقِيقَةْ
بَعدَ دِيسَمبَر	بَعَدْ دِيسَمْبَرْ
بَعدَ ذِي الحِجَّة	بَعَدْ ذِي الْحَجَّة
بَعدَ ذِي القِعدَة	بَعَدْ ذِي الْقَعَدَة
بَعدَ رَبِيعِ الآخِر	بَعَدْ رَبِيعْ الْاَخْر
بَعدَ رَبِيعٍ الأُوَّل	بَعَدْ رَبِيعْ الْاَوَلْ
فِي الخَرِيف	فِي الخَرِيفْ
فِي الخَمِيس	فِي الْخَمِيس
فِي الدِّرَاسَة	فِي الْدِّرَاسَة
فِي الرَّبِيع	فِي الرَبِيعْ
فِي السَّبت	فِي الْسِبْتْ
فِي الشِّبط	فِي الشَبْطْ
فِي الشِّتَاء	فِي الْشَّتَاءْ
فِي الشَّهرِ القَادِم	فِي الشَهْرْ القَادِم
فِي الصَّبَاح	فِي الصَّبَاحْ
فِي الصَّيف	فِي الصّيْفْ
فِي الظُّهر	فِي الظَّهْر
فِي العَامِ الحَالِي	فِي الْعَام الْحَالِي
فِي العَامِ الدِّرَاسِي	فِي الْعَامْ الْدَّرَاسِي
فِي العَامِ القَادِم	فِي العَامْ القَادِم
فِي العَامِ المِيلادِي	فِي الْعَام الْمِيلَادِي
فِي العَامِ الهِجرِي	فِي الْعَام الْهَجْرِي
فِي العَصر	فِي الْعَصَرْ
فِي العِيد	فِي الْعِيْدْ
فِي اللَّيل	فِي الْلِيْلْ
فِي المِربِعَانِيَّة	فِي الْمَرَبْعَانِيَّة
فِي المَسَاء	فِي الْمَسَاء
فِي المَغرِب	فِي الْمَغْرِب
فِي النَّهَار	فِي الْنَّهَارْ
فِي الوَسم	فِي الوَسِمْ
فِي أَغُسطُس	فِي اِغْسَطَسْ
فِي أُكتُوبَر	فِي اَكْتُوبَرْ
فِي إِجَازَةِ نِهَايَةِ الأُسبُوع	فِي اَجَازَة نِهَايَة الاَسْبُوعْ
فِي ثَانِيَة	فِي ثَانِيَة
فِي جُمَادَى الأُولَى	فِي جْمَادَى الْاُولَى
فِي جُمَادَى الآخِرَة	فِي جْمَادَى الْاِخْرَة
فِي جُمَادَى الثَّانِيَة	فِي جْمَادَى الثَانِيَة
فِي دِيسَمبَر	فِي دِيسُمْبَرْ
فِي ذِي الحِجَّة	فِي ذِي الْحَجَّة
فِي ذِي القِعدَة	فِي ذِي الْقَعَدَة
فِي رَبِيعِ الآخِر	فِي رَبِيعْ الْاَخْر
فِي رَبِيعٍ الأُول	فِي رَبِيعْ الاَوَلْ
فِي ربيع الثَّانِي	فِي رَبِيعْ الثَانِي
فِي رَجَب	فِي رَجَبْ
فِي رَمَضَان	فِي رَمْضَانْ
فِي سَاعَة	فِي سَاعَةْ
فِي سِبتَمبَر	فِي سِبْتَمْبَرْ
فِي سَنَة	فِي سَنَّة
فِي سُهَيل	فِي سَهِيل
فِي شِبَاط	فِي شَبَاطْ
فِي شَعبَان	فِي شَعْبَانْ
قَبلَ الإِجَازَة	قَبَلْ الْاَجَازَة
قَبلَ الثُّلَاثَاء	قَبَلْ الثُّلَاثَاءْ
قَبلَ الخَرِيف	قَبَّلْ الخَرِيفْ
قَبلَ الخَمِيس	قَبَّلْ الْخَمِيسْ
قَبلَ الدِّرَاسَة	قَبَّلْ الْدِّرَاسَة
قَبلَ الرَّبِيع	قَبَّلْ الرَّبِيعْ
قَبلَ السَّبت	قَبَّلْ السَبْتْ
قَبلَ الشِّبط	قَبَّلْ الشَّبْطْ
قَبلَ الشِّتَاء	قَبَّلْ الْشِتَاءْ
قَبلَ الشَّهرِ القَادِم	قَبَّلْ الْشَهْرْ القَادِم
قَبلَ الصَّبَاح	قَبَّلْ الصَّبَاحْ
قَبلَ الصَّيف	قَبَّلْ الصِيْفْ
قَبلَ الظُّهُر	قَبَّلْ الظهْر
قَبلَ العَامِ الدِّرَاسِي	قَبَّلْ الْعَام الْدِّرَاسِي
قَبلَ العَامِ القَادِم	قَبَّلْ العَام القَادِم
قَبلَ العَامِ المِيلادِي	قَبَّلْ العَام الْمِيلَادِي
قَبلَ العَامِ الهِجرِي	قَبَّلْ الْعَام الْهَجْرِي
قَبلَ العَصر	قَبْلْ الْعَصْرْ
قَبلَ العِيد	قَبَّلْ الْعِيْدْ
قَبلَ اللَّيل	قَبَّلْ اللِيْلْ
قَبلَ المِربِعَاِنَّية	قَبَلْ الْمُرْبَعَانِيَّة
قَبلَ المَسَاء	قَبَلْ الْمَسَاء
قَبلَ المَغرِب	قَبْلْ الْمَغْرِبْ
قَبلَ النَّهَار	قَبَّلْ الْنَّهَارْ
قَبلَ الوَسِم	قَبَلْ الوَسْمْ
قَبلَ أُسبُوع	قَبَّلْ اِسْبُوعْ
قَبلَ أَغُسطُس	قَبْلْ اِغْسَطِسْ
قَبلَ أُكتُوبَر	قَبَّلْ اَكْتُوبَرْ
قَبلَ أَمس	قَبَّلْ اَمْس
قَبلَ إِبرِيل	قَبَّلْ اَبْرِيل
قَبلَ إِجَازَة نِهَايَة الأُسبُوع	قَبَّلْ اَجَازَة نِهَايَة الاَسْبُوعْ
قَبلَ ثَانية	قَبَّلْ ثَانِيَة
قَبلَ جُمَادَى الأُولى	قَبَّلْ جْمَادَى الْاُولَى
قَبلَ جُمَادَى الآخِرَة	قَبَّلْ جَمَادَى الْاِخْرَة
قَبلَ جُمَادَى الثَّانِيَة	قَبَّلْ جَمَادَى الثَانِيَة
قَبلَ دَقِيقَة	قَبْلْ دَقِيقَة
قَبلَ دِيسَمبَر	قَبَّلْ دِيسُمْبَرْ
قَبلَ ذُي الحِجَّة	قَبَلْ ذِي الْحَجّة
قَبلَ ذُي القِعدَة	قَبَّلْ ذِيْ الْقَعَدَة
قَبلَ رَبِيعٍ الأُوَّل	قَبَّلْ رَبِيعْ الْاَوَل
قَبلَ رَبِيعِ الآخِر	قَبَّلْ رَبِيعْ الْاَخْر
قَبلَ رَجَب	قَبْلْ رَجَبْ
قَبلَ سَاعَة	قَبَّلْ سَاعَةْ
قَبلَ سِبتَمبَر	قَبَّلْ سِبْتَمْبرْ
قَبلَ سَنَة	قَبَّلْ سَنْة
بَعدَ رَبِيعِ الثَّانِي	بَعَدْ رَبِيعْ الثَانِي
بَعدَ رَجَب	بَعَدْ رَجْبْ
